seconds,x,y
645.0,2,62
646.0,2,62
647.0,2,62
648.0,2,62
649.0,2,62
650.0,2,62
651.0,2,62
652.0,2,62
653.0,2,62
654.0,2,62
655.0,2,62
656.0,2,62
657.0,2,62
658.0,2,62
659.0,2,62
660.0,2,62
661.0,2,62
662.0,2,62
663.0,2,62
664.0,2,62
665.0,2,62
666.0,2,62
667.0,2,62
668.0,2,62
669.0,2,62
670.0,2,62
671.0,2,62
672.0,2,62
673.0,2,62
674.0,2,62
675.0,2,62
676.0,2,62
677.0,2,62
678.0,2,62
679.0,2,62
680.0,2,62
681.0,2,62
682.0,2,62
683.0,2,62
684.0,2,62
685.0,2,62
686.0,2,62
687.0,2,62
688.0,2,62
689.0,2,62
690.0,2,62
691.0,2,62
692.0,2,62
693.0,2,62
694.0,2,62
695.0,2,62
696.0,2,62
697.0,2,62
698.0,2,62
699.0,2,62
700.0,2,62
701.0,2,62
702.0,2,62
703.0,2,62
704.0,2,62
705.0,2,62
706.0,2,62
707.0,2,62
708.0,2,62
709.0,2,62
710.0,2,62
711.0,2,62
712.0,2,62
713.0,2,62
714.0,2,62
715.0,2,62
716.0,2,62
717.0,2,62
718.0,2,62
719.0,2,62
720.0,2,62
721.0,2,62
722.0,2,62
723.0,2,62
724.0,2,62
725.0,2,62
726.0,2,62
727.0,2,62
728.0,2,62
729.0,2,62
730.0,2,62
731.0,2,62
732.0,2,62
733.0,2,62
734.0,2,62
735.0,2,62
736.0,2,62
737.0,2,62
738.0,2,62
739.0,2,62
740.0,2,62
741.0,2,62
742.0,2,62
743.0,2,62
744.0,2,62
745.0,2,62
746.0,2,62
747.0,2,62
748.0,2,62
749.0,2,62
750.0,2,62
751.0,2,62
752.0,2,63
753.0,2,62
754.0,2,62
755.0,2,63
756.0,2,62
757.0,2,63
758.0,2,63
759.0,2,63
760.0,2,63
761.0,2,63
762.0,2,63
763.0,2,63
764.0,2,63
765.0,2,63
766.0,2,63
767.0,2,62
768.0,2,63
769.0,2,63
770.0,2,62
771.0,2,62
772.0,2,62
773.0,2,62
774.0,2,62
775.0,2,62
776.0,2,62
777.0,2,62
778.0,2,62
779.0,2,62
780.0,2,62
781.0,2,62
782.0,2,62
783.0,2,62
784.0,2,62
785.0,2,61
786.0,2,62
787.0,2,62
788.0,2,62
789.0,2,61
790.0,2,61
791.0,2,61
792.0,2,61
793.0,2,61
794.0,2,61
795.0,2,61
796.0,2,61
797.0,2,61
798.0,2,61
799.0,2,61
800.0,2,61
801.0,2,61
802.0,2,61
803.0,2,61
804.0,2,61
805.0,2,61
806.0,2,61
807.0,2,61
808.0,2,61
809.0,2,61
810.0,2,61
811.0,2,61
812.0,2,61
813.0,2,61
814.0,2,61
815.0,2,61
816.0,2,61
817.0,2,61
818.0,2,61
819.0,2,61
820.0,2,61
821.0,2,61
822.0,2,61
823.0,2,61
824.0,2,61
825.0,2,62
826.0,2,61
827.0,2,61
828.0,2,61
829.0,2,61
830.0,2,62
831.0,2,62
832.0,2,62
833.0,2,61
834.0,2,62
835.0,2,62
836.0,2,62
837.0,2,61
838.0,2,61
839.0,2,61
840.0,2,61
841.0,2,62
842.0,2,62
843.0,2,62
844.0,2,62
845.0,2,61
846.0,2,62
847.0,2,62
848.0,2,62
849.0,2,61
850.0,2,61
851.0,2,61
852.0,2,61
853.0,2,61
854.0,2,61
855.0,2,62
856.0,2,61
857.0,2,61
858.0,2,62
859.0,2,62
860.0,2,62
861.0,2,61
862.0,2,61
863.0,2,61
864.0,2,61
865.0,2,62
866.0,2,62
867.0,2,62
868.0,2,62
869.0,2,62
870.0,2,62
871.0,2,62
872.0,2,62
873.0,2,62
874.0,2,62
875.0,2,62
876.0,2,62
877.0,2,62
878.0,2,62
879.0,2,62
880.0,2,62
881.0,2,62
882.0,2,62
883.0,2,62
884.0,2,62
885.0,2,62
886.0,2,62
887.0,2,62
888.0,2,62
889.0,2,62
890.0,2,62
891.0,2,62
892.0,2,62
893.0,2,62
894.0,2,62
895.0,2,62
896.0,2,62
897.0,2,61
898.0,2,62
899.0,2,62
900.0,2,62
901.0,2,61
902.0,2,61
903.0,2,62
904.0,2,61
905.0,2,61
906.0,2,61
907.0,2,61
908.0,2,61
909.0,2,61
910.0,2,61
911.0,2,61
912.0,2,61
913.0,2,61
914.0,2,61
915.0,2,61
916.0,2,61
917.0,2,61
918.0,2,62
919.0,2,62
920.0,2,62
921.0,2,61
922.0,2,61
923.0,2,61
924.0,2,61
925.0,1,61
926.0,2,61
927.0,2,61
928.0,2,61
929.0,1,61
930.0,1,61
931.0,2,61
932.0,2,61
933.0,2,61
934.0,1,61
935.0,2,61
936.0,2,61
937.0,1,61
938.0,1,61
939.0,1,61
940.0,1,62
941.0,1,61
942.0,1,61
943.0,1,61
944.0,1,61
945.0,1,62
946.0,1,61
947.0,1,61
948.0,1,62
949.0,1,62
950.0,1,62
951.0,1,62
952.0,1,62
953.0,2,61
954.0,1,62
955.0,1,62
956.0,1,62
957.0,1,62
958.0,1,62
959.0,1,62
960.0,1,62
961.0,1,62
962.0,1,62
963.0,1,62
964.0,1,62
965.0,1,61
966.0,1,61
967.0,1,62
968.0,1,61
969.0,1,61
970.0,1,61
971.0,1,61
972.0,1,61
973.0,1,61
974.0,1,61
975.0,1,61
976.0,1,61
977.0,1,61
978.0,1,61
979.0,1,61
980.0,1,61
981.0,1,61
982.0,1,61
983.0,1,61
984.0,1,61
985.0,1,61
986.0,1,61
987.0,1,61
988.0,1,61
989.0,1,61
990.0,1,61
991.0,1,61
992.0,1,61
993.0,1,61
994.0,1,61
995.0,1,61
996.0,1,61
997.0,1,61
998.0,1,61
999.0,1,61
1000.0,1,61
1001.0,1,61
1002.0,1,61
1003.0,1,61
1004.0,1,61
1005.0,1,61
1006.0,1,61
1007.0,1,61
1008.0,1,61
1009.0,1,61
1010.0,1,61
1011.0,1,61
1012.0,1,61
1013.0,1,61
1014.0,1,61
1015.0,1,61
1016.0,1,61
1017.0,1,61
1018.0,1,61
1019.0,1,61
1020.0,1,61
1021.0,1,61
1022.0,1,62
1023.0,1,62
1024.0,1,62
1025.0,1,62
1026.0,1,62
1027.0,1,61
1028.0,1,62
1029.0,1,62
1030.0,1,62
1031.0,1,62
1032.0,1,62
1033.0,1,61
1034.0,1,62
1035.0,1,62
1036.0,1,62
1037.0,1,61
1038.0,1,61
1039.0,1,61
1040.0,1,61
1041.0,1,61
1042.0,1,61
1043.0,1,61
1044.0,1,61
1045.0,1,61
1046.0,1,61
1047.0,1,61
1048.0,1,61
1049.0,1,61
1050.0,1,61
1051.0,1,61
1052.0,1,61
1053.0,1,61
1054.0,1,61
1055.0,1,61
1056.0,1,61
1057.0,1,61
1058.0,1,61
1059.0,1,61
1060.0,1,61
1061.0,1,61
1062.0,1,61
1063.0,1,61
1064.0,1,61
1065.0,1,61
1066.0,1,61
1067.0,1,61
1068.0,1,61
1069.0,1,61
1070.0,1,61
1071.0,1,61
1072.0,1,61
1073.0,1,61
1074.0,1,61
1075.0,1,61
1076.0,1,61
1077.0,1,61
1078.0,1,61
1079.0,1,61
1080.0,1,61
1081.0,1,61
1082.0,1,61
1083.0,1,61
1084.0,1,61
1085.0,1,61
1086.0,1,61
1087.0,1,61
1088.0,1,61
1089.0,1,61
1090.0,1,61
1091.0,1,61
1092.0,1,61
1093.0,1,62
1094.0,1,62
1095.0,1,61
1096.0,1,62
1097.0,1,62
1098.0,1,62
1099.0,1,62
1100.0,1,62
1101.0,1,61
1102.0,1,62
1103.0,1,61
1104.0,1,61
1105.0,1,61
1106.0,1,61
1107.0,1,61
1108.0,1,61
1109.0,1,61
1110.0,1,61
1111.0,1,61
1112.0,1,61
1113.0,1,61
1114.0,1,61
1115.0,1,61
1116.0,1,61
1117.0,1,61
1118.0,1,61
1119.0,1,61
1120.0,1,61
1121.0,1,62
1122.0,1,62
1123.0,1,61
1124.0,1,62
1125.0,1,61
1126.0,1,61
1127.0,1,61
1128.0,1,61
1129.0,1,61
1130.0,1,61
1131.0,1,62
1132.0,1,61
1133.0,1,61
1134.0,1,61
1135.0,1,61
1136.0,1,61
1137.0,1,61
1138.0,1,61
1139.0,1,61
1140.0,1,61
1141.0,1,62
1142.0,1,62
1143.0,1,62
1144.0,1,61
1145.0,1,61
1146.0,1,62
1147.0,1,62
1148.0,1,62
1149.0,1,62
1150.0,1,61
1151.0,1,62
1152.0,1,62
1153.0,1,61
1154.0,1,62
1155.0,1,62
1156.0,1,62
1157.0,1,62
1158.0,1,62
1159.0,1,62
1160.0,1,62
1161.0,1,62
1162.0,1,62
1163.0,1,62
1164.0,1,62
